scenario,capex_hp_eur,opex_hp_eur_per_a,opex_sys_eur_per_a,spf_hp,spf_system,lcoh_hp_eur_per_kwh,lcoh_system_eur_per_kwh
ASHP,665446.0,98163.72867841415,78521.62119317743,2.87177773089206,2.481547930096611,0.09851582110972731,0.07850963016498286
GSHP,1003460.2,63749.83336606429,55814.19754758112,4.122728988024426,2.781879885503667,0.09521086801069198,0.07716912091216789
SA-WSHP,132182.1239,967.8796480604365,147931.32774979272,4.464473452846334,0.9540788534822483,0.10009893271107619,0.10274186914283573
